review_id,review_text,recommended
135506395,prettu much good and fun,True
135403389,o jogo e legal mais puta merda em se nao tiver em swf tu passa raiva pq randon e osso,True
135002081,"Jogo muito bom, além de ter várias skins não é pay to win, dá para se divertir e comprar personagens sem gastar dinheiro real, além de poder jogar com personagens icónicos do mundo de terror cinematográfico. Apesar de ter melhorado a optimização ainda tem alguns problemas com um pc mais fraco, mas nada de se preocupar. Apenas instale e se divirta jogando porque vale a pena.    
          (Já tenho mais de 300h porque comecei na epic)",True
134881690,ligaul,True
134843422,a,True
134796303,"⡴⠑⡄⠀⠀⠀⠀⠀⠀⠀ ⣀⣀⣤⣤⣤⣀⡀
⠸⡇⠀⠿⡀⠀⠀⠀⣀⡴⢿⣿⣿⣿⣿⣿⣿⣿⣷⣦⡀
⠀⠀⠀⠀⠑⢄⣠⠾⠁⣀⣄⡈⠙⣿⣿⣿⣿⣿⣿⣿⣿⣆ BÃO
⠀⠀⠀⠀⢀⡀⠁⠀⠀⠈⠙⠛⠂⠈⣿⣿⣿⣿⣿⠿⡿⢿⣆
⠀⠀⠀⢀⡾⣁⣀⠀⠴⠂⠙⣗⡀⠀⢻⣿⣿⠭⢤⣴⣦⣤⣹⠀⠀⠀⢀⢴⣶⣆ po compra
⠀⠀⢀⣾⣿⣿⣿⣷⣮⣽⣾⣿⣥⣴⣿⣿⡿⢂⠔⢚⡿⢿⣿⣦⣴⣾⠸⣼⡿
⠀⢀⡞⠁⠙⠻⠿⠟⠉⠀⠛⢹⣿⣿⣿⣿⣿⣌⢤⣼⣿⣾⣿⡟⠉
⠀⣾⣷⣶⠇⠀⠀⣤⣄⣀⡀⠈⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇
⠀⠉⠈⠉⠀⠀⢦⡈⢻⣿⣿⣿⣶⣶⣶⣶⣤⣽⡹⣿⣿⣿⣿⡇
⠀⠀⠀⠀⠀⠀⠀⠉⠲⣽⡻⢿⣿⣿⣿⣿⣿⣿⣷⣜⣿⣿⣿⡇
⠀⠀ ⠀⠀⠀⠀⠀⢸⣿⣿⣷⣶⣮⣭⣽⣿⣿⣿⣿⣿⣿⣿⠇
⠀⠀⠀⠀⠀⠀⣀⣀⣈⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇
⠀⠀⠀⠀⠀⠀⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
",True
134724023,manso,True
134713529,"Cheio de problemas, para um jogo pago...",False
134611150,asdsa,True
134505073,"Um jogo muito divertido para se jogar com amigos, joguei muitas horas no console, porem o lado negativo desse jogo é que não é possível resgatar o seu progresso de outras plataforma para se jogar no PC, coisa que já deveria ser ter no game, fora isso o jogo muito bom  para se jogado",True
134434918,Jogo bastante completo com boa jogabilidade... Full lobby é simplesmente incrível para não falar que o jogo além de ser de terror dá para rir bastante. Recomendado!,True
134320252,perfeito,True
134264123,"Recomendo porém acredito que os assassinos são muito roubados, pois os mesmos tem N... vantagens, mas recomendo sim pra quem gosta de adrenalina é muito bom 
",True
134144268,Recomendo!,True
133619389,i love killing my friends!,True
133569051,Excelente jogo de estratégia cheio de skills,True
133261468,Não recomendo.,False
133235776,i liked,True
133165266,Muito bom recomendo,True
132877430,correr e matar... fera dms,True
132645302,"⣿⣿⣿⣿⣿⣿⣿⣿⠿⠛⠋⠉⠁⠄⠄⠈⠙⠻⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⠟⠁⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠙⢿⣿
⣿⣿⣿⣿⡿⠃⠄⠄⠄⢀⣀⣀⡀⠄⠄⠄⠄⠄⠄⠄⠈⢿
⣿⣿⣿⡟⠄⠄⠄⠄⠐⢻⣿⣿⣿⣷⡄⠄⠄⠄⠄⠄⠄⠈
⣿⣿⣿⠃⠄⠄⠄⢀⠴⠛⠙⣿⣿⡿⣿⣦⠄⠄⠄⠄⠄⠄
⣿⣿⠃⠄⢠⡖⠉⠄⠄⠄⣠⣿⡏⠄⢹⣿⠄⠄⠄⠄⠄⢠
⣿⠃⠄⠄⢸⣧⣤⣤⣤⢾⣿⣿⡇⠄⠈⢻⡆⠄⠄⠄⠄⣾
⠁⠄⠄⠄⠈⠉⠛⢿⡟⠉⠉⣿⣷⣀⠄⠄⣿⡆⠄⠄⢠⣿
⠄⠄⠄⠄⠄⠄⢠⡿⠿⢿⣷⣿⣿⣿⣿⣿⠿⠃⠄⠄⣸⣿
⠄⠄⠄⠄⠄⢀⡞⠄⠄⠄⠈⣿⣿⣿⡟⠁⠄⠄⠄⠄⣿⣿
⠄⠄⠄⠄⠄⢸⠄⠄⠄⠄⢀⣿⣿⡟⠄⠄⠄⠄⠄⢠⣿⣿
⠄⠄⠄⠄⠄⠘⠄⠄⠄⢀⡼⠛⠉⠄⠄⠄⠄⠄⠄⣼⣿⣿
⠄⠄⠄⠄⠄⡇⠄⠄⢀⠎⠄⠄⠄⠄⠄⠄⠄⠄⠄⠙⢿⣿
⠄⠄⠄⠄⢰⠃⠄⢀⠎⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠙",True
132018147,It's bad but i love it so much,True
131969378,.,True
131582156,:),True
131369112,Fixe,True
131273053,"Still with a lot of childish kids that don't have a team spirit, selfish boredom, just not good, dont matter if you  bring 10 thousand killers if you don't change the core of the system, The person are the probably the worst part of this game.. for sure. too much childish",False
131183575,"Mano, eu joguei essa porra o suficiente pra fazer uma opinião sincera>
É uma MERDA 4 anos de jogo pra não arrumarem a hitbox
e começarem a só jogar um monte de assasino modinha,
como o grandão do Resident evil e outros.
+ uma coisa, o jogo já tava com os gráfico bom, mas n eles encher o jogo de gráfico
e ainda continua HORRÍVEL.",False
131096622,bem sexual,True
130778211,"O jogo é realmente muito bom, eu gosto de jogos complicados e desafiadores, e ainda é um jogo meio de estratégia. pra mim o jogo é perfeito, não vi nada de ruim no jogo",True
130675732,não compre,True
130594078,bom jogo,True
130589173,"I hate this game, still fun tho",True
130539154,Acho um jogo muito divertido para quem é amante do terror.,True
130055803,muito top,True
129963134,o jogo é perfeito e muito divertido,True
129914672,"Bom jogo, divertido e assustador na medida certa.",True
129897115,"Really good game to play with friends or alone.
Just keep in mind that the Devs love the killers more than they love survivors and most of the times you will feel helpless.",True
129535007,Funny with friends,True
129508940,worth it,True
